post,area,subject,code,schoolName
Teacher Level-1,NT,Sanskrit,218874,"GVUSS NAREDA, PHAGI, JAIPUR"
Teacher Level-1,NT,Sanskrit,218875,"GVUSS PARLI, MALPURA, TONK"
Teacher Level-1,NT,Sanskrit,218876,"GVUSS BALAPURA , MALPURA, TONK"
Teacher Level-1,NT,Sanskrit,218877,"GVUSS PACHEWAR , MALPURA, TONK"
Teacher Level-1,NT,Sanskrit,218878,"GVUSS BAROL , MALPURA, TONK"
Teacher Level-1,NT,General,218879,"GVUSS PARLI, MALPURA, TONK"
Teacher Level-1,NT,General,218880,"GVUSS PACHEWAR , MALPURA, TONK"
Teacher Level-1,NT,General,218881,"GVUSS BAROL , MALPURA, TONK"
Teacher Level-1,NT,General,218882,"GVUSS GULABPURA , MALPURA, TONK"
Teacher Level-1,NT,General,218883,"GVUSS GANWAR , MALPURA, TONK"
Teacher Level-2,NT,Sanskrit,218884,"GVUSS BALAPURA , MALPURA, TONK"
Teacher Level-2,NT,Sanskrit,218885,"GVUSS NAREDA, PHAGI, JAIPUR"
Teacher Level-2,NT,Sanskrit,218886,"GVUSS PARLI, MALPURA, TONK"
Teacher Level-2,NT,Sanskrit,218887,"GVUSS PACHEWAR , MALPURA, TONK"
Teacher Level-2,NT,Sanskrit,218888,"GVUSS GULABPURA , MALPURA, TONK"
Teacher Level-2,NT,Hindi,218889,"GVUSS BALAPURA , MALPURA, TONK"
Teacher Level-2,NT,Hindi,218890,"GVUSS NAREDA, PHAGI, JAIPUR"
Teacher Level-2,NT,Hindi,218891,"GVUSS PARLI, MALPURA, TONK"
Teacher Level-2,NT,Hindi,218892,"GVUSS PACHEWAR , MALPURA, TONK"
Teacher Level-2,NT,Hindi,218893,"GVUSS GULABPURA , MALPURA, TONK"
Teacher Level-2,NT,Sci-Maths,218894,"GVUSS BALAPURA , MALPURA, TONK"
Teacher Level-2,NT,Sci-Maths,218895,"GVUSS NAREDA, PHAGI, JAIPUR"
Teacher Level-2,NT,Sci-Maths,218896,"GVUSS PARLI, MALPURA, TONK"
Teacher Level-2,NT,Sci-Maths,218897,"GVUSS PACHEWAR , MALPURA, TONK"
Teacher Level-2,NT,Sci-Maths,218898,"GVUSS GULABPURA , MALPURA, TONK"
Teacher Level-1,NT,General,218899,"GVUSS BALAPURA , MALPURA, TONK"
Teacher Level-1,NT,General,218900,"GVUSS NAREDA, PHAGI, JAIPUR"
Teacher Level-1,NT,General,218901,"GVUSS PARLI, MALPURA, TONK"
Teacher Level-1,NT,General,218902,"GVUSS PACHEWAR , MALPURA, TONK"
Teacher Level-1,NT,General,218903,"GVUSS GULABPURA , MALPURA, TONK"
Teacher Level-2,NT,English,218904,"GVUSS BALAPURA , MALPURA, TONK"
Teacher Level-2,NT,English,218905,"GVUSS NAREDA, PHAGI, JAIPUR"
Teacher Level-2,NT,English,218906,"GVUSS PARLI, MALPURA, TONK"
Teacher Level-2,NT,English,218907,"GVUSS PACHEWAR , MALPURA, TONK"
Teacher Level-2,NT,English,218908,"GVUSS GULABPURA , MALPURA, TONK"
